source_csv,target,winner_model,model_name,winner_r2
ecowas_df_synthetic_full_lag_zero_0.csv,tradeflow_imf_o,Random Forest,fatalities,0.5083969385090339
ecowas_df_synthetic_full_lag_zero_10.csv,combined_trade_baci,OLS Linear FE,disorder,0.6018662533312613
ecowas_df_synthetic_full_lag_zero_10.csv,tradeflow_baci,Random Forest,fatalities,0.4818028350262098
ecowas_df_synthetic_full_lag_zero_10.csv,tradeflow_comtrade_d,XGBoost,perpetrator,0.3987717898664797
ecowas_df_synthetic_full_lag_zero_10.csv,tradeflow_comtrade_o,Random Forest,fatalities,0.4392821381373747
ecowas_df_synthetic_full_lag_zero_10.csv,tradeflow_imf_d,Random Forest,fatalities,0.4381437077339686
ecowas_df_synthetic_full_lag_zero_10.csv,tradeflow_imf_o,Random Forest,fatalities,0.5141154232362095
ecowas_df_synthetic_full_lag_zero_100.csv,combined_trade_baci,Random Forest,fatalities,0.6040935190907215
ecowas_df_synthetic_full_lag_zero_100.csv,tradeflow_baci,Random Forest,fatalities,0.4915140264085855
ecowas_df_synthetic_full_lag_zero_100.csv,tradeflow_comtrade_d,Random Forest,fatalities,0.4472070351117498
ecowas_df_synthetic_full_lag_zero_100.csv,tradeflow_comtrade_o,Random Forest,fatalities,0.4506650992923324
ecowas_df_synthetic_full_lag_zero_100.csv,tradeflow_imf_d,Random Forest,fatalities,0.4318970209704137
ecowas_df_synthetic_full_lag_zero_100.csv,tradeflow_imf_o,Random Forest,fatalities,0.5161510790378259
