target,model_spec,data_version,model_name,n_train,n_test,rmse,mae,r2,exporter_FE,importer_FE,contig,comlang_off,comlang_ethno,log_gdp_o,log_gdp_d,log_distw,disorder_Demonstrations,disorder_Political violence,disorder_Political violence; Demonstrations,disorder_Strategic developments,event_Battles,event_Explosions/Remote violence,event_Protests,event_Riots,event_Strategic developments,event_Violence against civilians,perpetrator_Civilians,perpetrator_External/Other forces,perpetrator_Identity militia,perpetrator_Political militia,perpetrator_Protesters,perpetrator_Rebel group,perpetrator_Rioters,perpetrator_State forces,target_Civilians,target_External/Other forces,target_Identity militia,target_Political militia,target_Protesters,target_Rebel group,target_Rioters,target_State forces
tradeflow_baci,RF basic,lag0,RandomForest_tradeflow_baci,2892,618,1.841271505914709,1.2505564227087558,0.6986596066214918,1.4100028588274187,0.5489301121252249,0.4904233794604901,0.1370171587450892,0.09553333640925231,0.9198915347712162,0.6099998574709274,0.6493084176197,,,,,,,,,,,,,,,,,,,,,,,,,,
tradeflow_baci,RF full,lag0,RandomForest_tradeflow_baci,2892,618,2.2703280363659037,1.6565444984703923,0.5418592624419745,0.7644572541535598,0.4159385183885952,0.4497059851179167,0.12584729166593234,0.06639101290313273,0.7215663143748392,0.5186157748303469,0.6148819756686906,7.637590338346452,6.248046148020874,0.7755471061255036,2.2122993482340254,4.621568340434251,1.0343160857215559,5.566048269122474,5.560369837129762,2.4875297048534666,2.6608766862724584,0.04976095982577905,3.009581665829725,13.423570794344473,8.610982199739066,5.107899699920315,2.170171205987366,2.912556783276837,2.950709057091224,2.9507265430982343,1.9886391430283388,5.347426528780046,2.2300856538411624,3.5000273440281116,1.759352005771532,2.681494392432704,2.502824158744266
tradeflow_baci,XGB basic,lag0,XGBoost_tradeflow_baci,2892,618,1.990231295859562,1.4130949384195146,0.6479301880487283,1.5002719,0.4587242,0.48332494,0.104439534,0.03945877,1.0944039,0.83707285,0.78645915,,,,,,,,,,,,,,,,,,,,,,,,,,
tradeflow_baci,XGB full,lag0,XGBoost_tradeflow_baci,2892,618,2.1296505371963206,1.5065732975592918,0.5968762601227564,1.1101698,0.46810687,0.4491746,0.10808191,0.032321386,1.2225379,0.7777949,0.7746104,7.17934648835209,5.999648503385461,1.5455052558853333,5.729213386532132,3.997647194867272,2.9836207173540723,4.703635396097414,3.55704138494704,0.8210947123853489,3.2202044454139593,0.025212220893777844,2.8945527136176854,7.341862328346495,8.543382087440243,3.0265696464749867,2.438496118349074,2.1724542688492705,6.0814417841251345,3.227615240173196,4.837555265339248,2.211382005244103,2.148157948077609,0.6460227906325521,2.6665486911858136,3.7060639135400155,8.295725492490687
tradeflow_baci,RF basic,lag1,RandomForest_tradeflow_baci,2850,618,1.8708712671983219,1.2746169371302025,0.6888932053094858,1.376793792533498,0.5372574112868688,0.49946803631655734,0.12972087996628878,0.1146731964211452,0.9217705057812431,0.6094606406496083,0.6745884642698636,,,,,,,,,,,,,,,,,,,,,,,,,,
tradeflow_baci,RF full,lag1,RandomForest_tradeflow_baci,2850,618,2.2596521105416443,1.6385456694716134,0.5461578277802603,0.7711092334882332,0.42577122546903245,0.43491561060380146,0.1256639233573189,0.06810611222697734,0.7222837569238497,0.5228429841038781,0.6328311423413095,8.053437779382065,3.7829532445262535,0.5910969111805112,3.046214808575726,3.956140752095078,2.2847635354559803,5.847659049530991,7.213622402376939,3.1363291555153023,2.815571271034465,0.029461028242415834,3.442650328067047,11.061189654022101,7.905971852352617,5.753666583936154,2.652437062220343,3.683903812689498,2.165849228341639,2.6927522932745065,1.1620531459813055,6.321042288856702,1.659702474364132,4.556525264366219,2.5256373697951355,1.2198167351467737,2.4395519686701057
tradeflow_baci,XGB basic,lag1,XGBoost_tradeflow_baci,2850,618,1.9779004808040466,1.383196503113142,0.6522792896764054,1.5219971,0.45323458,0.46862692,0.0737385,0.038711786,1.0738294,0.83417714,0.7967688,,,,,,,,,,,,,,,,,,,,,,,,,,
tradeflow_baci,XGB full,lag1,XGBoost_tradeflow_baci,2850,618,2.0817540240874313,1.483582937090031,0.6148051147951308,1.1426995,0.49319172,0.44172642,0.06888507,0.025795601,1.2403892,0.7396518,0.8139278,7.085435042311436,4.313915575518551,1.1181857171856986,8.11745580085799,4.131542983346051,2.311113586490252,4.339458569241446,4.888246488042932,1.9383272935271822,5.247841050254328,0.00895523347435634,4.526627130546387,3.1148658064764945,5.425910527167315,3.1511768536930598,5.181709117474227,2.1900161871236645,7.32308669269202,3.44949598846209,1.523211293650077,3.7676056523143124,3.230238897577933,1.1211083488644513,4.576752985619871,1.4315709760241369,6.486146202063756
tradeflow_baci,RF basic,lag2,RandomForest_tradeflow_baci,2731,618,1.8615559095046057,1.2526637305207364,0.6919835901498441,1.3980590850709782,0.5493902373981191,0.46788340625692,0.13695264305197763,0.11203682203126991,0.8895365388598162,0.613841093997635,0.6907695476758002,,,,,,,,,,,,,,,,,,,,,,,,,,
tradeflow_baci,RF full,lag2,RandomForest_tradeflow_baci,2731,618,2.216755566287785,1.605069112738219,0.5632254737082765,0.8215031090300233,0.41713622948192136,0.43087731473582697,0.11710110404553219,0.05979624491783466,0.6849195052130644,0.5721848098511578,0.6384379646710068,8.242898277679307,3.0637796762720884,0.7278956384366992,3.2025719330967513,5.396400217951766,1.1766128095960664,6.36386264821308,5.078330934728483,3.529814641476918,3.3703771709194785,0.05101573517360511,1.7518962861521368,13.72404181874842,8.515653976355637,6.107039088596893,2.59801113225228,3.2897441309651643,2.407177718411251,2.516727517657049,1.6689470286832626,4.20363467622803,1.4526602565809423,5.2493377457668595,2.350470542172604,1.3415142813011582,2.6195841165840705
tradeflow_baci,XGB basic,lag2,XGBoost_tradeflow_baci,2731,618,2.056151905970651,1.4545973734122748,0.6242213694746286,1.5170045,0.45817506,0.48014992,0.078224815,0.041678168,1.0744567,0.83217955,0.78346336,,,,,,,,,,,,,,,,,,,,,,,,,,
tradeflow_baci,XGB full,lag2,XGBoost_tradeflow_baci,2731,618,2.1696981881349084,1.5194451973938954,0.58157238526789,1.12724,0.5050368,0.4610569,0.10895911,0.0326399,1.1974789,0.7365884,0.7507097,5.81766498347787,5.721106501112875,1.0193237864246614,9.083819819611968,6.471591790027878,3.4685776255000365,4.4357960807763535,4.072214902852364,1.0358701117172087,4.413513571181135,0.0,2.1471430864355496,7.332479607930874,5.448017790333083,2.9159417527886715,2.8797633678303036,3.180999702913556,5.289275980928954,3.679465048786188,1.6995770271911121,2.2232369137793606,2.794825684398257,4.083757573808207,2.9041422473333784,2.11255484314586,5.769340199714302
