target,model_spec,data_version,model_name,n_train,n_test,rmse,mae,r2,exporter_FE,importer_FE,contig,comlang_off,comlang_ethno,log_gdp_o,log_gdp_d,log_distw,disorder_Demonstrations,disorder_Political violence,disorder_Political violence; Demonstrations,disorder_Strategic developments,event_Battles,event_Explosions/Remote violence,event_Protests,event_Riots,event_Strategic developments,event_Violence against civilians,perpetrator_Civilians,perpetrator_External/Other forces,perpetrator_Identity militia,perpetrator_Political militia,perpetrator_Protesters,perpetrator_Rebel group,perpetrator_Rioters,perpetrator_State forces,target_Civilians,target_External/Other forces,target_Identity militia,target_Political militia,target_Protesters,target_Rebel group,target_Rioters,target_State forces
tradeflow_baci,RF basic,lag0,RandomForest_tradeflow_baci,3640,910,2.1969234699638394,1.5707153376721754,0.48236444266050016,1.0825656624986466,0.5285056627256377,0.3804110992038566,0.10057214821250529,0.062156051780437885,0.7346613360759036,0.4353649468565382,0.5444576907836274,,,,,,,,,,,,,,,,,,,,,,,,,,
tradeflow_baci,RF full,lag0,RandomForest_tradeflow_baci,3640,910,2.347837909776248,1.7718221272556067,0.40880539026556406,0.5906058946141746,0.4119161509340978,0.3599775106497096,0.07959070571625103,0.029338673634806935,0.5504997108091838,0.38088317542645783,0.5177760600922029,0.08365424972406632,0.040316828733368684,0.010030499306570476,0.02859918034779883,0.05014945970964223,0.01823149138160111,0.05498979870474672,0.0486678508119306,0.023109159863245576,0.03856787590539285,0.00044673327037338204,0.02821751146852231,0.12026872885354765,0.06672550868075666,0.0514471682778462,0.025129557223959362,0.041315544398397276,0.0441538348798147,0.03281356046798098,0.024854912839709545,0.051437770459417644,0.02732198626394697,0.020011073137134038,0.021320507671125657,0.02074912066401582,0.0314369475160232
tradeflow_baci,MLP basic,lag0,MLP_tradeflow_baci,3640,910,2.1794839386429676,1.6349067317737656,0.4905499725380611,1.352158674525605,0.6232996500466217,0.38825202114039775,0.07162775336597887,0.1111726347931451,0.38956910821478136,0.8268301277848659,0.39755587900955086,,,,,,,,,,,,,,,,,,,,,,,,,,
tradeflow_baci,MLP full,lag0,MLP_tradeflow_baci,3640,910,12.63247503299985,5.371200332441091,-16.11477292202991,1.3345178550050958,0.9271528433995019,0.2862672430161284,0.38411440316167483,0.13950536072272404,0.3918894381860678,1.2152296003481982,0.381712405928879,0.0229632477764624,0.01528097608958887,0.07428361243986403,0.02449734203929101,0.04159497092499571,0.05934916225044188,0.10236306025784724,0.4813270684228174,0.0916949425665375,0.3565199597346686,0.003521311855141929,0.024644423485195792,0.09269949148524238,0.03400025820605143,0.022603330766232638,0.1154276248290295,0.17641908100672576,0.06915530166810846,0.030780461896741464,0.12170712521941533,0.04758672807441111,0.13083425775703458,0.039504928685164996,0.047562790628982804,0.06700253125322035,0.14867593337813742
tradeflow_baci,XGB basic,lag0,XGBoost_tradeflow_baci,3640,910,2.248696124591908,1.629405909482402,0.4576797925330913,1.1000466,0.48996437,0.41711366,0.058545556,0.026004603,0.8640532,0.5674534,0.63089544,,,,,,,,,,,,,,,,,,,,,,,,,,
tradeflow_baci,XGB full,lag0,XGBoost_tradeflow_baci,3640,910,2.3778108685004953,1.74401574110632,0.39361442745670727,0.74835795,0.5026265,0.4014124,0.058334343,0.023343883,0.9764292,0.5447524,0.6206511,0.06408133,0.055403486,0.0132161,0.034522418,0.05221999,0.02726426,0.047266304,0.043777935,0.0113256,0.04372717,0.0004813217,0.022466943,0.038238022,0.078285605,0.030691402,0.037447818,0.024549231,0.06975314,0.04290983,0.03655358,0.027504481,0.064246655,0.008677454,0.016945057,0.03125715,0.044453338
tradeflow_comtrade_o,RF basic,lag0,RandomForest_tradeflow_comtrade_o,3640,910,1.9274115806045566,1.3952320006000458,0.47443790213118586,1.081209488774185,0.3865783426255016,0.3985036825583303,0.09060126993073386,0.04946369303781195,0.6412958518839729,0.47797264112930804,0.5005014212324125,,,,,,,,,,,,,,,,,,,,,,,,,,
tradeflow_comtrade_o,RF full,lag0,RandomForest_tradeflow_comtrade_o,3640,910,2.10162738290778,1.6094738669845696,0.37513450128983883,0.595355158559791,0.26028811849499905,0.37665022469104287,0.0444530328281404,0.0298750449821933,0.4252161286033871,0.4514630116790537,0.4477654436738082,0.06176695250849021,0.08758406701838405,0.018790540052670338,0.021049892217455624,0.05692165324773686,0.02127365022943414,0.08718278443897677,0.053209248343179,0.02096436897445534,0.051947069705544156,0.0013626181656173843,0.0146144497072394,0.059996729101336535,0.08778111760122657,0.07270209898260596,0.02205328383316557,0.06758083269293258,0.02748367667371777,0.03963659397911242,0.008581984261504246,0.03947284618636259,0.025282347038504908,0.02488565845844944,0.017970391418175427,0.01995328324390897,0.03507901415994977
tradeflow_comtrade_o,MLP basic,lag0,MLP_tradeflow_comtrade_o,3640,910,2.001793119483314,1.3975732315846348,0.43309081459612253,2.241802434310602,0.4729952510289044,0.3728609304699415,0.04860449026604453,0.04357694961725281,0.8542764740965195,0.5426027296142316,0.3789287185971294,,,,,,,,,,,,,,,,,,,,,,,,,,
tradeflow_comtrade_o,MLP full,lag0,MLP_tradeflow_comtrade_o,3640,910,10.883838024190176,4.52925496952788,-15.758658421757278,2.3275705302042593,0.44589685707186216,0.24133374490570159,0.07068422519389195,0.022734256746900924,0.9544069066642936,0.4881640267747589,0.4252702479618518,0.09352036178823879,0.009908732410656575,0.04451096468879876,0.005535928528274886,0.025346040928975584,0.05567796908313837,0.0007436083006696078,0.09200421478115474,0.015164829095518428,0.22607463107450573,0.003382730269347187,0.01816159358683779,0.012369149306027902,0.051845415536328626,0.0026985547102685086,0.02052672522013842,0.2894682928781346,0.1965187747054352,0.1219931724460609,0.045002834401436716,0.01740243822935439,0.020488660812050957,0.030104782806434603,0.2690980134511543,0.04521675851690039,0.12355172753448594
